date,ticker,open,high,low,close,volume,amount,pct_change
2023-08-07,000300.SH,4002.97,4002.97,3977.02,3990.15,121310662,227090572750.9,-0.76
2023-08-08,000300.SH,3980.04,4002.29,3963.46,3979.73,109871699,202611335313.8,-0.26
2023-08-09,000300.SH,3967.36,3982.11,3961.84,3967.57,94640269,174394242765.3,-0.31
2023-08-10,000300.SH,3962.86,3976.46,3945.39,3975.72,97176849,175646730198.2,0.21
2023-08-11,000300.SH,3977.98,3977.98,3884.25,3884.25,126082931,203546314647.4,-2.3
2023-08-14,000300.SH,3840.89,3859.47,3814.07,3855.91,115966336,197623765246.4,-0.73
2023-08-15,000300.SH,3858.37,3865.28,3811.68,3846.54,103097111,177437071692.5,-0.24
2023-08-16,000300.SH,3830.83,3852.42,3817.63,3818.33,94616946,169323869027.6,-0.73
2023-08-17,000300.SH,3801.2,3836.15,3782.5,3831.1,98415493,174093848242.9,0.33
2023-08-18,000300.SH,3832.46,3844.2,3784.0,3784.0,95549638,168445686988.2,-1.23
2023-08-21,000300.SH,3773.23,3782.11,3729.56,3729.56,98708369,173379942906.6,-1.44
2023-08-22,000300.SH,3748.07,3770.06,3704.68,3758.23,120318327,203463879671.8,0.77
2023-08-23,000300.SH,3751.77,3756.17,3695.03,3696.63,97081638,160476231586.9,-1.64
2023-08-24,000300.SH,3711.54,3748.86,3701.57,3723.43,119614521,196257391083.7,0.72
2023-08-25,000300.SH,3703.51,3734.22,3695.84,3709.15,105182610,175601437172.9,-0.38
2023-08-28,000300.SH,3911.55,3911.55,3740.53,3752.62,197990379,335047670966.8,1.17
2023-08-29,000300.SH,3743.05,3810.38,3742.08,3790.11,152486146,262134936751.0,1.0
2023-08-30,000300.SH,3803.12,3813.7,3780.24,3788.51,129671661,226727480838.7,-0.04
2023-08-31,000300.SH,3786.93,3794.0,3762.0,3765.27,118961646,193577001342.0,-0.61
